,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24
Cell 11,0.045385194572188266,-0.08298799516218171,-0.009922315006338911,-0.012563501652274624,-0.0006501436683374762,-0.06554289528276835,-0.020003972768219417,0.0289380215543679,0.052822535437958756,0.004277154302183114,1.0,-0.019816847492816796,-0.055903251850190586,-0.01783533073020906,-0.02061396748581493,-0.051379376225568374,-0.08652369100171774,0.007376039759244065,0.05506482264517535,0.04925052109911948,0.05914083987327422,0.0168789055494832,0.03450207457561673,0.07042891480142817
Cell 12,-0.030559391793869507,-0.01072672050329565,-0.018784855966622223,0.03111019762662706,0.01939561867538529,0.04055916695460247,-0.028012667827221817,-0.005662142585151477,-0.03836476569593845,0.008114754878338548,-0.019816847492816796,0.9999999999999998,-0.046374635707817774,-0.015486090734663213,-0.014320742199215957,-0.011804188938496536,-0.0032042298675319953,0.023069112862249306,-0.04964390202372696,0.04640222450217824,-0.06378095792628598,0.00036863247416562704,0.043931539994323816,0.030574252845110533
Cell 13,-0.025801177084832982,0.05933736261281363,-0.009406912404292846,0.022610866633033255,0.005555660536616039,0.05173844403589213,0.07857896831794373,-0.01085927359996159,0.04593725738777752,-0.0353836174877939,-0.055903251850190586,-0.04637463570781777,0.9999999999999998,0.03478390469259808,0.0013861042706667128,-0.020812760539360833,0.02326934189067779,-0.048611464536391834,0.06711202602803461,0.027685714774577624,-0.040945582878159976,-0.011730262958430568,0.01588383665491768,0.01350921873533209
Cell 14,0.025215765125666107,-0.009760407768429125,-0.011666784886122345,-0.05043460626169052,-0.0105754653173356,0.04912755824898083,-0.025206450634582937,0.007801671841622685,0.02016724000280768,-0.05045856962871251,-0.01783533073020906,-0.015486090734663213,0.034783904692598074,0.9999999999999998,-0.007295696015801066,0.032176140781867965,-0.059279486019155295,-0.02669421592546301,-0.02714167371747106,0.012179046461260437,0.016072457785058527,-0.004613224360489585,-0.0035312298809340747,0.00082421465995771
Cell 15,-0.006556960707648515,-0.023316942886102858,-0.007910951254022677,-0.02449238624502921,0.04334468441022475,0.06117833537751575,0.014251593891178393,0.04812105840534585,0.00721735868848,-0.04494113463006501,-0.020613967485814934,-0.014320742199215955,0.0013861042706667128,-0.007295696015801066,1.0,0.08276508903041863,-0.06778733466415018,0.08995430997015443,0.01078646585195208,0.05126201058339103,-0.04797328525481351,-0.005948493923619972,0.02302377609497239,0.06496730246752022
Cell 16,-0.028911264935937177,0.04539864326950709,-0.014395228945679047,-0.02013041024715543,0.027525311144383224,0.01891991439358627,0.026549738129673647,-0.036495087145847635,-0.01281025078437366,-0.005781137200544866,-0.051379376225568374,-0.011804188938496536,-0.020812760539360833,0.032176140781867965,0.08276508903041863,0.9999999999999998,0.04219288323035172,0.044118733447236234,-0.04225236254550082,-0.03671333962978226,-0.020743859149916354,0.02836185707356199,0.09103965566618266,0.08278926865510483
Cell 17,0.01626665019793221,0.015031655658776753,-0.02371800317543912,-0.04003743959696069,0.013430594175955081,0.03264114719461909,-0.08327080956814345,-0.047411029255820754,0.018049788611987475,0.03199013235287398,-0.08652369100171774,-0.003204229867531995,0.023269341890677794,-0.059279486019155295,-0.06778733466415018,0.042192883230351724,0.9999999999999998,-0.08913619390710127,-0.055985503073673795,-0.0455473045203791,0.07272574087192953,0.0037867225652749195,-0.019685106020429513,0.004487550524779409
Cell 18,0.042956946187156134,0.024092061030466072,0.016927363068691283,-0.04031435944681474,0.054065623183876955,0.04649976975778243,-0.008962774725547277,0.1954982173441382,0.05755730551631396,0.01748266046399936,0.007376039759244065,0.023069112862249306,-0.048611464536391834,-0.026694215925463005,0.08995430997015444,0.044118733447236234,-0.08913619390710127,0.9999999999999998,0.009506065302850124,0.01926780459106279,-0.027316298410448275,-0.007834386285178511,0.026518146953639965,-0.020203031742979233
Cell 19,-0.014163314328457037,-0.060598355968076834,0.018024937542104862,-0.006569328435756811,-0.03857472883385993,-0.037298156647157944,0.12405326388599963,0.0562586976268586,0.02490905911950736,-0.02566058646865619,0.05506482264517535,-0.04964390202372696,0.0671120260280346,-0.02714167371747106,0.010786465851952079,-0.04225236254550081,-0.055985503073673795,0.009506065302850126,0.9999999999999998,0.05009869799119712,0.06838576557238253,-0.00665691946150985,0.0008314686980377917,0.08528338610176274
Cell 20,0.017818657091989563,0.055965609413947626,-0.02201030743553595,-0.024965484363583316,0.018604246071143766,0.006858179392012812,-0.017177194672561517,0.09263514363613685,0.03959312811749814,-0.008323552732209907,0.04925052109911948,0.04640222450217825,0.02768571477457762,0.012179046461260435,0.05126201058339102,-0.036713339629782266,-0.0455473045203791,0.01926780459106279,0.05009869799119712,1.0,0.01584783388303915,-0.04672131392662648,-0.015300772623596597,-0.008889611458619065
Cell 21,0.03434595820549899,-0.0019014384271072995,-0.03793020137998138,0.006706011954058141,-0.004360088214527265,-0.02833518961769046,-0.025797333265469215,-0.05542420184312688,0.003230046855422964,-0.010861909337205882,0.05914083987327422,-0.06378095792628598,-0.04094558287815998,0.016072457785058527,-0.04797328525481351,-0.02074385914991635,0.07272574087192953,-0.027316298410448275,0.06838576557238253,0.01584783388303915,1.0,-0.0029712792605469333,-0.0328769330336683,0.011526167161507526
Cell 22,0.02627200910483847,-0.02319056961135605,0.00042675291134351343,-0.04670274880932667,0.0023125362474389565,-0.0510855703825399,0.013523916943507812,-0.03269810021707735,0.004402152530517515,-0.0535989603605197,0.0168789055494832,0.000368632474165627,-0.011730262958430568,-0.004613224360489584,-0.005948493923619972,0.028361857073561994,0.0037867225652749195,-0.007834386285178511,-0.00665691946150985,-0.04672131392662647,-0.0029712792605469337,1.0,0.02606607002037174,0.015502523840891467
Cell 23,-0.04659894784744041,0.0261594563277303,-0.01498991638810115,0.0030310223505543095,0.050082774898102964,-0.047082258681481824,-0.01647256302751549,0.015904273566433726,-0.011371311493121632,0.010330285554987164,0.03450207457561672,0.04393153999432381,0.01588383665491768,-0.003531229880934075,0.023023776094972394,0.09103965566618265,-0.019685106020429513,0.02651814695363997,0.0008314686980377916,-0.015300772623596597,-0.0328769330336683,0.02606607002037174,0.9999999999999998,0.07748604287586641
Cell 24,0.009796734309392279,0.004811655424932038,-0.0466239354624142,0.0014783597088380857,0.004271325803345263,0.12466893136677225,0.0722256817663292,0.04233261155847282,0.01637492752982028,0.022947307952844324,0.07042891480142818,0.030574252845110533,0.01350921873533209,0.00082421465995771,0.06496730246752024,0.08278926865510483,0.004487550524779409,-0.020203031742979237,0.08528338610176274,-0.008889611458619063,0.011526167161507525,0.015502523840891467,0.07748604287586641,0.9999999999999998
